"CHROM"	"POS"	"VIZ_COUNT"	"MATURE_ACORNS"	"IMMAT_ACORNS"	"ENLARGED_CUPS"	"FLOWERS"	"CANOPY_CLOSURE"	"SPRING_PHENO"	"SOIL_PC1"	"MIDNOV_LAI"
"Qrob_Chr01"	388037	0.0383816387408532	0.999697192439314	0.940640532144142	0.184646052188903	0.935308591777841	0.999994685907921	0.770157835488536	0.999981533221853	0.507432836697211
"Qrob_Chr01"	412153	0.864973094854308	0.999697192439314	0.863314849836374	0.0379971473448941	0.976146371203671	0.944894721711589	0.755038263745022	0.93871030425947	0.262040656657528
"Qrob_Chr01"	423179	0.972102664157313	0.998811037086718	0.998423225209072	0.00651305963060756	0.999579393278058	0.999994685907921	0.996822305659432	0.00054463832404014	0.736387620465322
"Qrob_Chr01"	801433	0.832518293517199	0.999697192439314	0.999998761754783	0.999937504356255	0.999579393278058	0.0154422974309264	0.746067576903903	0.999981533221853	0.619044599192998
"Qrob_Chr01"	1145380	0.0216317546273142	0.729235362327936	0.999998761754783	0.993316274674492	0.999579393278058	0.999150263112731	0.999679914099991	0.992882397547956	0.999273504504784
"Qrob_Chr01"	1220965	0.995891266952941	0.970593928268286	0.667147372587224	0.99983090500322	0.00959459276267933	0.558988194249062	0.866926034789474	0.996630220418891	0.813300987834131
"Qrob_Chr01"	1299543	0.99899081812236	0.999094761938012	0.553542944494118	0.999946921697858	0.0366425459491429	0.996243036054021	0.985340609743591	0.999981533221853	0.926380583424516
"Qrob_Chr01"	1410537	0.441435737971545	0.922829561742078	0.778492038266811	0.999871521872136	0.0208010651313721	0.999150263112731	0.453195515613006	0.729108798309215	0.135986291130777
"Qrob_Chr01"	1461092	0.00620987543397071	0.999697192439314	0.999998761754783	0.996147176299759	0.983894866864126	0.4806514254968	0.954396189346214	0.900214071701241	0.999273504504784
"Qrob_Chr01"	1742786	0.000175601641036509	0.999697192439314	0.999998761754783	0.0640885867715698	0.999635705615789	0.066988649884117	0.998976404129112	0.317022290161674	0.999273504504784
"Qrob_Chr01"	1762109	0.999917216500016	0.999697192439314	0.831308304470936	0.0450676701360854	0.999579393278058	0.999994685907921	0.541069767099227	0.828346998467652	0.999125157428961
"Qrob_Chr01"	2139995	0.0302602603524874	0.999697192439314	0.999998761754783	0.260411141097728	0.999579393278058	0.762771265146057	0.999679914099991	0.812431883583213	0.997465428634086
"Qrob_Chr01"	2828414	0.911461784453619	0.89139234718561	0.9796696136711	0.01728733145832	0.999579393278058	0.983688610987249	0.368836175388227	0.791726475962089	0.915748006741668
"Qrob_Chr01"	2888122	0.0481685831378307	0.870693825115688	0.993205353615472	0.997713055829159	0.99784128237954	0.988511889512642	0.999679914099991	0.997240994958037	0.961859980069387
"Qrob_Chr01"	3009572	0.912628507728683	0.999697192439314	0.962604340786383	0.99983090500322	1.46307836940804e-05	0.97709187097388	0.982682258184883	0.999981533221853	0.959247770352766
"Qrob_Chr01"	3011280	0.999917216500016	0.999697192439314	0.999998761754783	0.66741658129761	0.999579393278058	0.999994685907921	0.876053223043451	0.987793458923183	0.0166368852022091
"Qrob_Chr01"	3013655	0.998901797495367	0.977249059498805	0.993205353615472	0.99983090500322	0.000923491328962215	0.997993336808201	0.979071958495268	0.999981533221853	0.999273504504784
"Qrob_Chr01"	3016704	0.926150451123613	0.999094761938012	0.99168976122162	0.994416080454798	5.37112193275287e-07	0.999994685907921	0.996822305659432	0.999981533221853	0.995711376509267
"Qrob_Chr01"	3022660	0.926150451123613	0.999094761938012	0.99168976122162	0.994416080454798	5.37112193275287e-07	0.999994685907921	0.996822305659432	0.999981533221853	0.995711376509267
"Qrob_Chr01"	3024270	0.999917216500016	0.999697192439314	0.999998761754783	0.793988933184939	0.999579393278058	0.992815909973972	0.984680769865957	0.999981533221853	0.0454494175044842
"Qrob_Chr01"	3029750	0.498845531254805	0.9484270816195	0.999998761754783	0.922421528820973	0.0348056710877634	0.983816347195137	0.989911723237206	0.999981533221853	0.965034186863778
"Qrob_Chr01"	3170481	0.999917216500016	0.963818841101421	0.912381381505862	0.936755944514672	0.0281364345973462	0.940803608150155	0.831400942991406	0.206231262268385	0.915574228136308
"Qrob_Chr01"	3192042	0.991416552239723	0.975627020925834	0.896352678214265	0.0381682209162402	0.999635705615789	0.924917604387564	0.563682428392131	0.999981533221853	0.984754301722217
